1101.TW 台泥 現價:35.15
1101B.TW 台泥乙特 現價:47.70
1102.TW 亞泥 現價:39.10
1103.TW 嘉泥 現價:19.10
1104.TW 環泥 現價:28.75
1108.TW 幸福 現價:16.15
1109.TW 信大 現價:18.00
1110.TW 東泥 現價:18.60
1201.TW 味全 現價:19.10
1203.TW 味王 現價:41.50
1210.TW 大成 現價:54.7
1213.TW 大飲 現價:-
1215.TW 卜蜂 現價:96.8
1216.TW 統一 現價:72.4
1217.TW 愛之味 現價:12.85
1218.TW 泰山 現價:24.65
1219.TW 福壽 現價:20.00
1220.TW 台榮 現價:14.20
1225.TW 福懋油 現價:55.2
1227.TW 佳格 現價:38.50
1229.TW 聯華 現價:59.7
1231.TW 聯華食 現價:85.9
1232.TW 大統益 現價:144.0
1233.TW 天仁 現價:36.20
1234.TW 黑松 現價:38.60
1235.TW 興泰 現價:82.9
1236.TW 宏亞 現價:22.40
1240.TWO 茂生農經 現價:46.70
1256.TW 鮮活果汁-KY 現價:271.0
1259.TWO 安心 現價:75.0
1264.TWO 德麥 現價:286.5
1268.TWO 漢來美食 現價:145.0
1301.TW 台塑 現價:80.3
1303.TW 南亞 現價:66.4
1304.TW 台聚 現價:21.00
1305.TW 華夏 現價:23.80
1307.TW 三芳 現價:23.40
1308.TW 亞聚 現價:23.70
1309.TW 台達化 現價:17.45
1310.TW 台苯 現價:15.30
1312.TW 國喬 現價:16.85
1312A.TW 國喬特 現價:26.40
1313.TW 聯成 現價:15.30
1314.TW 中石化 現價:9.28
1315.TW 達新 現價:72.2
1316.TW 上曜 現價:11.95
1319.TW 東陽 現價:61.4
1321.TW 大洋 現價:34.20
1323.TW 永裕 現價:31.75
1324.TW 地球 現價:11.70
1325.TW 恆大 現價:22.35
1326.TW 台化 現價:62.1
1336.TWO 台翰 現價:21.80
1337.TW 再生-KY 現價:7.37
1338.TW 廣華-KY 現價:35.20
1339.TW 昭輝 現價:46.50
1340.TW 勝悅-KY 現價:12.40
1341.TW 富林-KY 現價:67.2
1342.TW 八貫 現價:103.0
1402.TW 遠東新 現價:28.75
1409.TW 新纖 現價:16.45
1410.TW 南染 現價:37.35
1413.TW 宏洲 現價:8.57
1414.TW 東和 現價:17.50
1416.TW 廣豐 現價:10.20
1417.TW 嘉裕 現價:12.95
1418.TW 東華 現價:21.75
1419.TW 新紡 現價:43.60
1423.TW 利華 現價:23.60
1432.TW 大魯閣 現價:16.70
1434.TW 福懋 現價:25.70
1435.TW 中福 現價:-
1436.TW 華友聯 現價:63.9
